bin,bank,type,length
621668,BOC,DC,19
621669,BOC,DC,19
621670,ICBC,DC,19
621671,ABC,DC,19
621672,BOC,DC,19
621673,CCB,DC,19
621674,PSBC,DC,19
621676,WHRCB,DC,19
621678,ZJNX,DC,19
621691,CMBC,DC,16
621700,CCB,DC,19
621701,FJNX,DC,19
621720,ICBC,DC,19
621721,ICBC,DC,19
621722,ICBC,DC,19
621723,ICBC,DC,19
621724,ICBC,DC,19
621725,BOC,DC,19
621726,MTBANK,DC,19
621727,NYBANK,DC,19
621728,GDRCC,DC,19
621735,GYCB,DC,19
621736,ZJNX,DC,19
621737,NMGNXS,DC,19
621738,YQCCB,DC,16
621740,SCB,DC,16
621748,ZYB,DC,19
621751,URMQCCB,DC,19
621752,HRBANK,DC,19
621753,ZYB,DC,19
621754,URMQCCB,DC,19
621755,CCQTGB,DC,16
621756,BOC,DC,19
621757,BOC,DC,19
621758,BOC,DC,19
621759,BOC,DC,19
621760,BSB,DC,17
621766,KLB,DC,19
621767,CITIC,DC,16
621768,CITIC,DC,16
621769,CITIC,DC,16
621770,CITIC,DC,16
621771,CITIC,DC,16
621772,CITIC,DC,16
621773,CITIC,DC,16
621775,HSBANK,DC,19
621777,NJCB,DC,16
621778,ARCU,DC,19
621779,GZRCU,DC,19
621780,JZBANK,DC,19
621785,BOC,DC,19
621786,BOC,DC,19
621787,BOC,DC,19
621788,BOC,DC,19
621789,BOC,DC,19
621790,BOC,DC,19
621791,SPDB,DC,16
621792,SPDB,DC,16
621793,SPDB,DC,16
621795,SPDB,DC,16
621796,SPDB,DC,16
621797,PSBC,DC,19
621798,PSBC,DC,19
621799,PSBC,DC,19
621977,WZCB,DC,16
622020,ICBC,DC,18
622126,FXCB,DC,18
622127,FJNX,DC,19
622128,SRCB,DC,16
622129,SRCB,DC,16
622131,JSBANK,DC,19
622132,JXBANK,DC,16
622133,GYCB,DC,19
622134,CQBANK,DC,16
622135,CDCB,DC,19
622136,XABANK,DC,18
622137,HSBANK,DC,17
622138,BJRCB,DC,19
622139,LZYH,DC,16
622140,LANGFB,DC,16
622141,ZJTLCB,DC,16
622143,URMQCCB,DC,19
622146,QDCCB,DC,16
622147,H3CB,DC,19
622148,SHBANK,CC,16
622149,SHBANK,CC,16
622150,PSBC,DC,19
622151,PSBC,DC,19
622152,CDCB,DC,19
622153,CDCB,DC,19
622154,CDCB,DC,19
622155,SPABANK,CC,16
622156,SPABANK,CC,16
622157,SPABANK,CC,16
622158,ICBC,CC,16
622159,ICBC,CC,16
622161,CEB,CC,16
622162,CEB,CC,16
622162,JJBANK,DC,19
622163,BJBANK,CC,16
622165,BSB,DC,16
622166,CCB,CC,16
622167,TSBANK,DC,19
622168,CCB,CC,16
622169,HNRCC,DC,19
622172,SHBANK,DC,18
622173,JSBANK,DC,19
622176,SPDB,CC,16
622177,SPDB,CC,16
622178,JLBANK,CC,16
622179,JLBANK,CC,16
622180,PSBC,DC,19
622181,PSBC,DC,19
622182,PSBC,DC,19
622184,FJNX,DC,19
622187,PSBC,DC,19
622188,PSBC,DC,19
622189,PSBC,DC,19
622200,ICBC,DC,19
622202,ICBC,DC,19
622203,ICBC,DC,19
622208,ICBC,DC,19
622210,ICBC,CC,16
622211,ICBC,CC,16
622212,ICBC,CC,16
622213,ICBC,CC,16
622214,ICBC,CC,16
622215,ICBC,CC,16
622218,CRCBANK,CC,16
622228,SPDB,CC,16
62223,ICBC,CC,16
622240,ICBC,CC,16
622245,ICBC,CC,16
622246,ICBC,CC,16
622251,COMM,CC,16
622252,COMM,CC,16
622253,COMM,CC,16
622254,COMM,SCC,16
622255,COMM,SCC,16
622256,COMM,SCC,16
622257,COMM,SCC,16
622258,COMM,DC,17
622259,COMM,DC,17
622260,COMM,DC,19
622261,COMM,DC,19
622262,COMM,DC,19
622265,HKBEA,CC,16
622266,HKBEA,CC,16
622267,SHBANK,DC,18
622268,SHBANK,CC,16
622269,SHBANK,CC,16
622270,DAQINGB,CC,16
622271,NHB,DC,18
622272,CHB,DC,16
622275,NCB,DC,16
622276,SPDB,CC,16
622277,SPDB,CC,16
622278,SHBANK,DC,18
622279,SHBANK,DC,18
622280,CCB,DC,19
622281,NBBANK,DC,16
622282,NBBANK,CC,16
622283,JSBANK,CC,16
622284,COMM,SCC,16
622285,COMM,CC,16
622286,HZCB,CC,16
622287,ZJTLCB,CC,16
622288,ZJNX,CC,16
622289,NBYZ,CC,16
622290,FJNX,CC,16
622291,LZCCB,DC,18
622292,LZCCB,DC,18
622293,DSB,CC,16
622294,DSB,CC,16
622295,DSB,CC,16
622296,DSB,CC,16
622297,DSB,DC,16
622298,SPABANK,DC,16
622300,SHBANK,CC,16
622301,HZCCB,DC,19
622302,GDRCC,DC,16
622302,ICBC,DC,18
622303,NJCB,CC,16
622303,ICBC,DC,18
622305,NJCB,DC,16
622305,ICBC,DC,18
622307,ICBC,DC,18
622307,JJBANK,DC,19
622308,FDB,DC,17
622308,ICBC,DC,18
622309,ICBC,DC,18
622309,CZBANK,DC,19
622310,BOQH,DC,17
622312,JSRCU,DC,16
622313,ICBC,DC,18
622315,BSB,CC,16
622316,NBBANK,DC,16
622318,NBBANK,CC,16
622319,SDRCU,DC,16
622320,SDRCU,DC,16
622321,TZCB,CC,16
622322,SDEB,DC,16
622323,CSRCB,DC,19
622324,JSRCU,DC,19
622325,HKB,DC,16
622327,HSBANK,DC,17
622328,DRCBCL,DC,19
622329,TRCB,DC,19
622331,TCCB,DC,18
622332,ZRCBANK,DC,17
622333,BOD,DC,16
622335,BGB,DC,16
622336,BSB,DC,17
622337,JSBANK,DC,16
622338,JZCBANK,DC,19
622339,NBYZ,DC,16
622340,HSBANK,DC,17
622341,JRCB,DC,16
622342,PZHCCB,DC,19
622343,GDRCC,DC,19
622345,CDRCB,DC,19
622349,NCB,CC,16
622350,NCB,CC,16
622351,NCB,DC,16
622352,CYBC,CC,16
622353,CYBC,CC,16
622355,CYBC,DC,16
622358,HBRCU,DC,19
622359,LSBC,DC,19
622360,HSBC,CC,16
622361,HSBC,CC,16
622362,GDRCC,DC,19
622363,RBOZ,DC,19
622365,HKBEA,DC,17
622366,HSBANK,DC,17
622367,MYBANK,DC,19
622368,CSCB,DC,19
622369,YNRCC,DC,16
622370,BOQZ,DC,19
622371,CITI,CC,16
622372,BEAHK,CC,16
622373,DSB,CC,16
622375,DSB,DC,17
622376,HSB,CC,16
622377,HSB,CC,16
622378,HSB,CC,16
622379,QLBANK,DC,19
622383,DLB,CC,16
622384,EGBANK,DC,17
622385,DLB,CC,16
622386,SHBANK,CC,16
622387,WLB,CC,16
622388,FJHXBC,DC,16
622389,NBYZ,CC,16
622391,BANKWF,DC,16
622392,LUZBANK,DC,19
622393,XMBANK,DC,16
622394,JSBANK,DC,16
622395,DTCCB,DC,19
622396,HBC,DC,17
622397,YCCB,CC,16
622398,HLDB,DC,16
622399,LYCB,DC,17
622400,BOYK,DC,17
622406,HSBC,DC,17
622407,HSBC,DC,19
622409,HSB,DC,19
622410,HSB,DC,17
622411,WHCCB,DC,16
622412,HURCB,DC,16
622413,ASCB,DC,16
622415,BODD,DC,16
622418,JSBANK,DC,16
622420,BOL,DC,17
622421,ZZBANK,DC,19
6224217,ZZBANK,DC,19
622422,JSBANK,DC,16
622423,WLB,CC,16
622425,HRBANK,DC,17
622425,HRBANK,DC,19
622426,TCCB,CC,16
622427,TZCB,DC,16
622428,NXBANK,CC,16
622429,NXBANK,DC,19
622432,BNU,DC,19
622434,LSB,DC,19
622435,LSB,DC,19
622436,LSB,DC,19
622439,GRCB,DC,18
622440,JLBANK,DC,16
622441,ZYB,DC,16
622442,FSCB,DC,17
622442,FSCB,DC,19
622443,KSRB,DC,19
622447,JSBANK,DC,16
622448,NYBANK,DC,16
622449,JHBANK,DC,16
622450,JHBANK,CC,16
622451,DSB,CC,16
622452,JSRCU,DC,19
622453,CITIC,CC,16
622456,CITIC,CC,16
622459,CITIC,DC,17
